file,flag,last,mu,sd,upper,lower,zscore,thr_yellow,thr_orange,thr_red,level,reason
IND001.xlsx,G,2275.0,2071.1666666666665,106.56565529705334,,,1.9127488379360598,2278.2833333333333,2485.3999999999996,2692.5166666666664,normal,auto_threshold
IND002.xlsx,G,14.04,14.52651,0.5771524402039028,,,-0.8429488746995877,15.979161000000001,17.431812,18.884463,normal,auto_threshold
IND003.xlsx,G,148.14,149.7868333333333,2.5908502411798584,,,-0.6356343207947676,164.76551666666666,179.74419999999995,194.7228833333333,normal,auto_threshold
IND004.xlsx,G,72.008,68.91761666666666,3.338010271063205,,,0.9258160048587877,75.80937833333333,82.70114,89.59290166666666,normal,auto_threshold
IND005.xlsx,G,146.061,139.50573333333332,6.364496303365459,,,1.0299741494390289,153.45630666666668,167.40687999999997,181.35745333333332,normal,auto_threshold
IND006.xlsx,G,106.639,107.35863333333333,0.39344711489880413,,,-1.8290471732609508,118.09449666666667,128.83035999999998,139.56622333333334,normal,auto_threshold
IND007.xlsx,G,341.611,323.3997,11.627039563448353,,,1.56628864128496,355.73967000000005,388.07964,420.41961000000003,normal,auto_threshold
IND008.xlsx,missing,,,,,,,,,,,
IND009.xlsx,G,13.883,16.142216666666666,1.7525777499792343,,,-1.2890821344122598,17.756438333333335,19.370659999999997,20.984881666666666,normal,auto_threshold
IND010.xlsx,G,32.962,36.73175,2.388438517979217,,,-1.57833244256564,40.404925,44.0781,47.751275,normal,auto_threshold
IND011.xlsx,G,,,,,,,,,,,too_short
IND012.xlsx,G,,,,,,,,,,,too_short
IND013.xlsx,G,,,,,,,,,,,too_short
IND014.xlsx,G,60.934,55.94918333333333,2.3239414327935295,,,2.144983774687726,61.54410166666667,67.13901999999999,72.73393833333333,normal,auto_threshold
IND015.xlsx,G,30.641,35.922916666666666,3.3295351491947818,,,-1.5863826119823519,39.515208333333334,43.107499999999995,46.69979166666667,normal,auto_threshold
IND016.xlsx,G,58.06,61.26566666666667,2.1559038063472307,,,-1.4869247214225476,67.39223333333334,73.5188,79.64536666666667,normal,auto_threshold
IND017.xlsx,G,,,,,,,,,,,too_short
IND018.xlsx,G,7.1051,7.124028333333333,0.01340114536972043,,,-1.4124414601233515,7.836431166666667,8.548834,9.261236833333333,normal,auto_threshold
IND019.xlsx,G,7.1051,7.124028333333333,0.01340114536972043,,,-1.4124414601233515,7.836431166666667,8.548834,9.261236833333333,normal,auto_threshold
IND020.xlsx,G,62.56,65.25566666666666,2.217135815014992,,,-1.2158328995503715,71.78123333333333,78.30679999999998,84.83236666666666,normal,auto_threshold
IND021.xlsx,G,,,,,,,,,,,too_short
IND022.xlsx,G,243.972,255.8392666666667,10.390737467999623,,,-1.1421005201232677,281.4231933333334,307.00712000000004,332.5910466666667,normal,auto_threshold
IND023.xlsx,G,100.18,98.61816666666667,0.9323542632616589,,,1.6751500957045784,108.47998333333334,118.34179999999999,128.20361666666668,normal,auto_threshold
IND024.xlsx,G,96.15,95.08898666666667,0.9565275492573437,,,1.1092344743830067,104.59788533333335,114.106784,123.61568266666667,normal,auto_threshold
IND025.xlsx,Y,423.14,368.4145,113.01825944546853,,,0.4842182163175601,405.25595,442.09739999999994,478.93885,yellow,auto_threshold
IND026.xlsx,G,53.0,58.5725,2.3054541309686156,,,-2.4170942831375104,64.42975,70.28699999999999,76.14425,normal,auto_threshold
IND027.xlsx,missing,,,,,,,,,,,
IND028.xlsx,G,1.1513,1.16525,0.008741462501580928,,,-1.5958428006156857,1.2817749999999999,1.3982999999999999,1.5148249999999999,normal,auto_threshold
IND029.xlsx,G,1.1513,1.16525,0.008741462501580928,,,-1.5958428006156857,1.2817749999999999,1.3982999999999999,1.5148249999999999,normal,auto_threshold
IND030.xlsx,G,61.8,63.90233333333333,2.1052516608606977,,,-0.9986137868542659,70.29256666666667,76.6828,83.07303333333333,normal,auto_threshold
IND031.xlsx,G,4.0,4.225,0.17500000000000684,,,-1.2857142857142334,4.6475,5.069999999999999,5.4925,normal,auto_threshold
IND032.xlsx,missing,,,,,,,,,,,
IND033.xlsx,missing,,,,,,,,,,,
IND034.xlsx,G,3.006,3.256066666666667,0.2867868469012363,,,-0.8719600266492874,3.5816733333333337,3.90728,4.232886666666667,normal,auto_threshold
IND035.xlsx,G,2.014,1.98515,0.038140453152346356,,,0.756414714968456,2.183665,2.38218,2.580695,normal,auto_threshold
IND036.xlsx,G,,,,,,,,,,,too_short
IND037.xlsx,G,90.75528,135.464082,50.00012555666193,,,-0.8941737946104631,149.0104902,162.5568984,176.1033066,normal,auto_threshold
IND038.xlsx,G,72.008,68.91751666666666,3.33793982615855,,,0.9258655021621539,75.80926833333334,82.70101999999999,89.59277166666666,normal,auto_threshold
IND039.xlsx,G,,,,,,,,,,,too_short
IND040.xlsx,G,16.07,16.03775,1.0735643223238405,,,0.03004011900301677,17.641525,19.245299999999997,20.849075,normal,auto_threshold
IND041.xlsx,G,220.0,227.15686274509804,10.836345069780547,,,-0.660449874843546,249.87254901960787,272.5882352941176,295.30392156862746,normal,auto_threshold
IND042.xlsx,G,267.348,264.1428666666667,7.416385124541557,,,0.43216921445020656,290.55715333333336,316.97144000000003,343.3857266666667,normal,auto_threshold
IND043.xlsx,G,96.76,96.72240833333333,0.34206332273848944,,,0.10989680614021956,106.39464916666668,116.06689,125.73913083333333,normal,auto_threshold
IND044.xlsx,G,246.94,255.7625,11.480155432309688,,,-0.7685000479322774,281.33875,306.91499999999996,332.49125,normal,auto_threshold
