file,flag,last,mu,sd,upper,lower,zscore,reason
IND001.xlsx,G,2084.0,2044.5166666666667,98.22838891527296,2240.9734444972128,1848.0598888361208,0.4019544020760613,
IND002.xlsx,G,14.19,14.746016666666666,0.6217982862007677,15.989613239068202,13.50242009426513,-0.8942074608535322,
IND003.xlsx,G,151.99,149.47616666666667,2.825947682735322,155.1280620321373,143.82427130119603,0.8895540949647451,
IND004.xlsx,G,71.775,67.6566,3.5844899878968137,74.82557997579363,60.48762002420637,1.1489500637206311,
IND005.xlsx,G,140.705,138.932,6.118439346216556,151.1688786924331,126.69512130756688,0.28977977874315125,
IND006.xlsx,G,107.466,107.43216666666666,0.30726921782401834,108.0467051023147,106.81762823101862,0.1101097388567934,
IND007.xlsx,G,323.625,320.7464,9.735303263894256,340.2170065277885,301.2757934722115,0.29568673126763245,
IND008.xlsx,missing,,,,,,,
IND009.xlsx,G,14.043,16.540200000000002,1.6311328762550346,19.80246575251007,13.277934247489933,-1.5309604976716533,
IND010.xlsx,G,34.938,37.06475,2.0837746649210906,41.23229932984218,32.897200670157815,-1.0206237919110754,
IND011.xlsx,G,,,,,,,too_short
IND012.xlsx,G,,,,,,,too_short
IND013.xlsx,G,,,,,,,too_short
IND014.xlsx,G,57.107,55.164233333333335,2.4837855474163586,60.13180442816605,50.19666223850062,0.7821797130140868,
IND015.xlsx,G,31.47,37.21489999999999,2.9779835890528314,43.17086717810565,31.25893282189433,-1.9291241298704402,
IND016.xlsx,G,60.45,61.83883333333333,2.142635520153183,66.1241043736397,57.55356229302697,-0.648189260501963,
IND017.xlsx,G,,,,,,,too_short
IND018.xlsx,G,7.1222,7.130330000000001,0.017332525301629542,7.16499505060326,7.095664949396742,-0.4690603278240166,
IND019.xlsx,G,7.1222,7.130330000000001,0.017332525301629542,7.16499505060326,7.095664949396742,-0.4690603278240166,
IND020.xlsx,G,64.44,65.817,2.264040120374666,70.34508024074933,61.28891975925066,-0.6082047696982162,
IND021.xlsx,G,,,,,,,too_short
IND022.xlsx,G,241.681,258.6954166666667,9.982590061855344,278.6605967903774,238.730236542956,-1.7044090322491328,
IND023.xlsx,G,99.574,98.40985,0.8339986176047963,100.0778472352096,96.74185276479041,1.3958656230670679,
IND024.xlsx,G,96.24,94.57826166666665,1.1584462227614822,96.89515411218962,92.26136922114368,1.434454444827077,
IND025.xlsx,Y,687.94,364.21500000000003,124.88137095526531,613.9777419105307,114.45225808946941,2.5922601387517115,
IND026.xlsx,Y,56.0,59.333999999999996,0.8400182537702544,61.0140365075405,57.65396349245949,-3.9689613708226004,
IND027.xlsx,missing,,,,,,,
IND028.xlsx,G,1.1571,1.1663066666666668,0.00818213229476914,1.1826709312562051,1.1499424020771285,-1.1252160604336177,
IND029.xlsx,G,1.1571,1.1663066666666668,0.00818213229476914,1.1826709312562051,1.1499424020771285,-1.1252160604336177,
IND030.xlsx,G,65.75,63.315666666666665,2.5664556406758066,68.44857794801828,58.182755385315055,0.9485195437441183,
IND031.xlsx,G,4.0,4.3,0.16955824957813762,4.639116499156275,3.9608835008437246,-1.7693034738587028,
IND032.xlsx,missing,,,,,,,
