file,flag,last,mu,sd,upper,lower,zscore,reason
IND001.xlsx,G,1976.0,2046.0166666666667,96.11910869102337,2238.2548840487134,1853.77844928462,-0.7284364953043468,
IND002.xlsx,G,14.55,14.958316666666667,0.6412091242765983,16.240734915219864,13.67589841811347,-0.6367917286381759,
IND003.xlsx,G,150.2,148.196,3.9485875955842147,156.09317519116843,140.29882480883157,0.507523247614186,
IND004.xlsx,G,70.148,66.62898333333334,3.334119221482122,73.29722177629758,59.96074489036909,1.0554561588539548,
IND005.xlsx,G,135.783,138.75703333333334,6.2293772213252785,151.2157877759839,126.29827889068278,-0.4774206518032371,
IND006.xlsx,G,107.807,107.40015,0.3315479263997289,108.06324585279945,106.73705414720054,1.2271227403470149,
IND007.xlsx,G,317.506,320.2400666666666,9.527209267612486,339.2944852018916,301.18564813144167,-0.28697455780267594,
IND008.xlsx,missing,,,,,,,
IND009.xlsx,G,14.64,16.817333333333334,1.4971265663114706,19.811586465956275,13.823080200710393,-1.4543415248436309,
IND010.xlsx,G,37.24,36.58838333333333,2.632934086348471,41.85425150603027,31.322515160636392,0.24748688926367113,
IND011.xlsx,G,,,,,,,too_short
IND012.xlsx,G,,,,,,,too_short
IND013.xlsx,G,,,,,,,too_short
IND014.xlsx,G,55.997,54.58055,2.4133343905958795,59.40721878119176,49.753881218808246,0.586926538452162,
IND015.xlsx,G,34.571,38.24943333333333,2.131014385738252,42.51146210480983,33.98740456185683,-1.726141952842333,
IND016.xlsx,G,60.18,62.40983333333334,2.1206645905362085,66.65116251440575,58.16850415226092,-1.0514785521879852,
IND017.xlsx,G,,,,,,,too_short
IND018.xlsx,G,7.0969,7.141146666666667,0.026071833247553553,7.193290333161774,7.08900300017156,-1.6971060779095337,
IND019.xlsx,G,7.0969,7.141146666666667,0.026071833247553553,7.193290333161774,7.08900300017156,-1.6971060779095337,
IND020.xlsx,G,64.42,66.15100000000001,2.1587416859518833,70.46848337190377,61.83351662809624,-0.80185601235413,
IND021.xlsx,G,,,,,,,too_short
IND022.xlsx,G,247.891,263.4579,9.181592983971644,281.8210859679433,245.09471403205671,-1.6954465338613054,
IND023.xlsx,G,98.691,98.15028333333333,0.5808656497466184,99.31201463282657,96.9885520338401,0.9308807757913321,
IND024.xlsx,Y,97.03,94.36562833333333,1.1906338823069447,96.74689609794723,91.98436056871944,2.237775781673744,
IND025.xlsx,G,183.21,347.47166666666664,121.69994263442416,590.871551935515,104.07178139781831,-1.349726738656682,
IND026.xlsx,G,60.25,59.25566666666666,0.6342748265185998,60.52421631970386,57.987117013629465,1.5676695523153932,
IND027.xlsx,missing,,,,,,,
IND028.xlsx,G,1.1656,1.1682866666666667,0.006196328662132213,1.1806793239909312,1.1558940093424022,-0.4335900842519576,
IND029.xlsx,G,1.1656,1.1682866666666667,0.006196328662132213,1.1806793239909312,1.1558940093424022,-0.4335900842519576,
IND030.xlsx,G,66.98,62.31483333333333,2.447555577623622,67.20994448858058,57.41972217808609,1.9060513719554306,
IND031.xlsx,G,4.25,4.379166666666666,0.12493053625471641,4.6290277391761,4.129305594157233,-1.0339078862457864,
IND032.xlsx,missing,,,,,,,
IND033.xlsx,missing,,,,,,,
IND034.xlsx,Y,2.941,3.4311999999999996,0.22040468839538355,3.872009376790767,2.9903906232092323,-2.2240906197087376,
IND035.xlsx,G,1.965,1.9677333333333331,0.03830007252676159,2.0443334783868563,1.89113318827981,-0.07136627042737732,
IND036.xlsx,G,,,,,,,too_short
IND037.xlsx,G,188.52011,147.17156016666667,54.06225339256135,255.29606695178938,39.04705338154396,0.7648321562382866,
IND038.xlsx,G,70.148,66.62888333333333,3.3339800493887863,73.2968434321109,59.960923234555764,1.0555302114995608,
IND039.xlsx,G,,,,,,,too_short
IND040.xlsx,G,16.75,15.045250000000001,0.9827001174485123,17.010650234897025,13.079849765102976,1.7347611643989833,
IND041.xlsx,G,219.0,226.69565217391303,11.460460505994135,249.6165731859013,203.77473116192476,-0.6714958940688287,
IND042.xlsx,G,257.964,264.39278333333334,7.717788135406506,279.8283596041463,248.95720706252033,-0.8329826137414085,
IND043.xlsx,G,98.02,96.82258333333333,0.7027149894435633,98.22801331222045,95.4171533544462,1.7039862314803182,
IND044.xlsx,Y,245.2,264.30066666666664,7.791956294081919,279.8845792548305,248.71675407850282,-2.451331340394431,
